name_zh,name_en
陽明山遊客中心,Yangmingshan Visitor Center
陽明書屋,Yangmingshuwu
陽明公園,Yangming Park
大屯遊憩區,Datun Recreation Area
龍鳳谷遊憩區,Longfonggu Recreation Area
小油坑遊憩區,Xiaoyoukeng Recration Area
冷水坑,Lengshuikeng
擎天崗,Qingtiangang
國立故宮博物院,National Palace Museum
臺北市立美術館,Taipei Fine Arts Museum
國民革命忠烈祠,National Revolutionary Martyrs’ Shrine
國立歷史博物館,National Museum of History
國立臺灣科學教育館,National Taiwan Science Education Center
國立臺灣藝術教育館,National Taiwan Arts Education Center
臺北市立動物園,Taipei Zoo
臺北市立天文科學教育館,Taipei Astronomical Museum
國立國父紀念館,National Dr. Sun Yat-sen Memorial Hall
士林官邸公園,Chiang Kai-shek Shilin Residence Park
臺北自來水園區,Taipei Water Park
國立中正紀念堂,National Chiang Kai-shek Memorial Hall
台北探索館,Discovery Center of Taipei
關渡自然公園,Guandu Nature Park
台北當代藝術館,"Museum of Contemporary Art ,Taipei"
美麗華摩天輪,Miramar Ferris Wheel
台北101,Taipei 101
北投溫泉博物館,Beitou Hot Spring Museum
臺北市孔廟,Taipei Confucius Temple
凱達格蘭文化館,Ketagalan Culture Center
臺北市立兒童新樂園,Taipei Children’s Amusement Park
台北植物園,Taipei Botanical Garden
華山1914文化創意產業園區,Huashan 1914 Creative Park
國立臺灣博物館,National Taiwan Museum
松山文創園區,Songshan Cultural and Creative Park
白石湖吊橋,Baishihu Suspension Bridge
