"年度","月份","陽明山遊客中心","陽明書屋","陽明公園","大屯遊憩區","龍鳳谷遊憩區","小油坑遊憩區","冷水坑","擎天崗","國立故宮博物院","臺北市立美術館","國民革命忠烈祠","國立歷史博物館","國立臺灣科學教育館","國立臺灣藝術教育館","臺北市立動物園","臺北市立天文科學教育館","國立國父紀念館","士林官邸公園","臺北自來水園區","國立中正紀念堂","台北探索館","關渡自然公園","台北當代藝術館","美麗華摩天輪","台北101","北投溫泉博物館","臺北市孔廟","凱達格蘭文化館","臺北市立兒童新樂園","台北植物園","華山1914文化創意產業園區","國立臺灣博物館","松山文創園區","白石湖吊橋"
"Year","Month","Yangmingshan Visitor Center","Yangmingshuwu","Yangming Park","Datun Recreation Area","Longfonggu Recreation Area","Xiaoyoukeng Recration Area","Lengshuikeng","Qingtiangang","National Palace Museum","Taipei Fine Arts Museum","National Revolutionary Martyrs’ Shrine","National Museum of History","National Taiwan Science Education Center","National Taiwan Arts Education Center","Taipei Zoo","Taipei Astronomical Museum","National Dr. Sun Yat-sen Memorial Hall","Chiang Kai-shek Shilin Residence Park","Taipei Water Park","National Chiang Kai-shek Memorial Hall","Discovery Center of Taipei","Guandu Nature Park","Museum of Contemporary Art ,Taipei","Miramar Ferris Wheel","Taipei 101","Beitou Hot Spring Museum","Taipei Confucius Temple","Ketagalan Culture Center","Taipei Children’s Amusement Park","Taipei Botanical Garden","Huashan 1914 Creative Park","National Taiwan Museum","Songshan Cultural and Creative Park","Baishihu Suspension Bridge"
"104(2015)","1","10773","2811","94000","48282","24821","35459","0","0","482236","50671","106319","17594","199654","32605","358036","51461","0","98370","96966","485208","27521","10172","22858","31865","246659","54643","45594","28123","0","0","0","0","0","0"
"104(2015)","2","12587","4196","922000","38345","31373","29038","0","0","533567","39885","89861","18065","336397","26628","412814","52927","517386","102600","80372","636861","13201","7537","18361","37707","248275","46748","47629","22736","0","0","0","0","0","0"
"104(2015)","3","10360","3157","624200","35079","72394","30445","0","0","441972","49621","106576","20120","174773","29459","246511","44921","557120","89550","88519","707343","16138","10860","15920","23185","201381","48226","46011","14693","0","0","0","0","0","0"
"104(2015)","4","9315","3278","76000","51847","123415","31767","0","0","406013","69926","120764","12286","136922","30601","285591","41849","605692","121730","83522","665662","24758","13779","20106","23313","211570","55369","43613","20453","0","0","0","0","0","0"
"104(2015)","5","8395","3230","31000","56146","24013","29093","0","0","459271","56560","153318","16503","151755","33431","210910","40201","583729","104255","96582","602923","33338","10433","23251","22960","250265","42824","42389","18388","0","0","0","0","0","0"
"104(2015)","6","11833","7392","21550","83547","20029","29671","0","0","365835","54666","140778","16026","165652","19764","158868","30017","470323","93340","156521","548336","29095","10156","12121","28953","210681","32791","41068","17285","0","0","0","0","0","0"
"104(2015)","7","11518","2343","13090","83321","19881","33063","0","0","429725","62497","141266","24435","338050","26673","233074","45596","689455","116545","186028","613380","48366","9336","15594","28352","247597","38702","41963","20652","0","0","0","0","0","0"
"104(2015)","8","7228","1333","5100","43999","15954","22694","0","0","465433","51992","142807","20809","348609","28614","210647","53513","510527","87130","134900","646732","25416","6977","21841","29181","249397","39188","36735","20811","0","0","0","0","0","0"
"104(2015)","9","11310","2378","4390","62871","19603","29333","0","0","333224","38738","145619","12615","124376","40681","233082","37716","456150","102310","117045","499644","10785","29377","25243","21736","201463","38506","39286","21466","0","0","0","0","0","0"
