景點介紹,景點照,景點名,評分,評論數,類型,
https://www.tripadvisor.com.tw/Attraction_Review-g13808515-d552573-Reviews-Taipei_101-Xinyi_District_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/62/e9/2b/101.jpg?w=500&h=400&s=1,台北101,4.0 分 (共 5 分),12250,建築物 • 購物中心,
https://www.tripadvisor.com.tw/Attraction_Review-g13808853-d456231-Reviews-Chiang_Kai_Shek_Memorial_Hall-Zhongzheng_District_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/82/ee/be/national-concert-hall.jpg?w=500&h=400&s=1,中正紀念堂,4.5 分 (共 5 分),7704,景點和地標 • 紀念碑和雕像,
https://www.tripadvisor.com.tw/Attraction_Review-g13806879-d321216-Reviews-National_Palace_Museum-Shilin_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/cd/db/0b/photo0jpg.jpg?w=500&h=-1&s=1,國立故宮博物院,4.0 分 (共 5 分),8897,特色博物館 • 歷史博物館,
https://www.tripadvisor.com.tw/Attraction_Review-g13808515-d2019764-Reviews-Elephant_Mountain_aka_Nangang_District_Hiking_Trail-Xinyi_District_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/0f/55/30/photo4jpg.jpg?w=500&h=-1&s=1,象山自然步道,4.5 分 (共 5 分),3326,景點和地標,
https://www.tripadvisor.com.tw/Attraction_Review-g13808541-d1380021-Reviews-Taroko_Gorge-Xiulin_Hualien.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/2b/7e/36/20181022-112342-largejpg.jpg?w=500&h=-1&s=1,太魯閣峽谷,4.5 分 (共 5 分),2653,登山步道,
https://www.tripadvisor.com.tw/Attraction_Review-g13808394-d662649-Reviews-Maokong_Gondola-Wenshan_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/c8/f9/ee/maokong.jpg?w=500&h=-1&s=1,貓空纜車,4.5 分 (共 5 分),4646,電車,
https://www.tripadvisor.com.tw/Attraction_Review-g13806951-d1372926-Reviews-Longshan_Temple-Wanhua_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/3c/c0/1a/photo5jpg.jpg?w=500&h=-1&s=1,龍山寺,4.0 分 (共 5 分),6919,宗教景點,
https://www.tripadvisor.com.tw/Attraction_Review-g13808394-d1656808-Reviews-Taipei_Zoo-Wenshan_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/37/12/ef/taipei-zoo.jpg?w=500&h=-1&s=1,臺北市立動物園,4.5 分 (共 5 分),3221,動物園,
https://www.tripadvisor.com.tw/Attraction_Review-g13806837-d1237188-Reviews-Chiufen_Jiufen_Old_Street-Ruifang_New_Taipei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/36/c4/71/the-temple-skyline.jpg?w=500&h=400&s=1,九份(九份老街),4.0 分 (共 5 分),5645,景點和地標 • 史跡徒步區,
https://www.tripadvisor.com.tw/Attraction_Review-g13808635-d490844-Reviews-Sun_Moon_Lake-Yuchi_Nantou.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/d5/12/ec/photo0jpg.jpg?w=500&h=-1&s=1,日月潭,4.0 分 (共 5 分),2655,水域,
https://www.tripadvisor.com.tw/Attraction_Review-g13808541-d819697-Reviews-Taroko_National_Park-Xiulin_Hualien.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/d4/c4/3f/caption.jpg?w=500&h=400&s=1,太魯閣國家公園,4.5 分 (共 5 分),1402,國家公園,
