id,attraction_id,author,description,url,source_platform_id,created_at
fff61f4cac87772c168b351d0577cad2,fc73810e75cbcb35391b0f013cfabeab,INFDark,,https://www.facebook.com/reel/400466609428709/?__cft__[0]=AZVACmmZuPZ5NsfbYVG-UY-__ABbBNEgSAjPlAf6o2Mmck3lT_QrYBX7KeqFqkeR0LaJDrOEdJFGQbknAZ9lV4oq9dmtu8TOhsX8WONV6EfRuVWd0a5S8kQeXx3tvQzzE-9Shv-bxN018A9WjuBZgUaHjFdOfmhyc3cAgJrTbChemw&__tn__=%2CO%2CP-R,fb,2024-04-14
5686dce243f99dade14cecf298f5b391,fc73810e75cbcb35391b0f013cfabeab,證嚴上人衲履足跡,敬邀 在這個特別的時刻，我們誠摯地邀請您參加慈濟浴佛大典，一個充滿虔誠與感恩的盛會。這次大典不僅慶祝佛誕節，更結合了母親節和全球慈濟日，將三重意義融為一體。讓我們在佛誕節、母親節和全球慈濟日的這個特別時刻，與佛相遇，感念佛恩、親恩、眾生恩。在這個充滿善念的時刻，讓我們一起祈願社會祥和，天下無災！…… 查看更多,https://www.facebook.com/groups/287376193397936/?multi_permalinks=1009371661198382&hoisted_section_header_type=recently_seen&__cft__[0]=AZXbT0x1GRlIJzCcm75Geo1pfiwoRiyn6zmtKhHQK7Iu4JoLX2LgjYs7VJkMGjK5bTaB4Pi4Rw3YPgBDvR_AlP50QdnH0vCCZ1CWDLSWU2CfMEDlnANFxzHxEvIQ4tJj33esSL4ZqvFLQy7k9vIWVlUfl5iODs8_cS18NUM1il7gFJ1r1fr50EaV1KfEa8AYllhQmZ3WPxP9BZGVcfmdirxA&__tn__=%2CO%2CP-R,fb,2024-05-03
9e06083d392e917873b04fc0731bfbec,fc73810e75cbcb35391b0f013cfabeab,生態相關的親子隨筆,偷懶，放水管解說---------------以下水管解說---------------今早正家遇到餵飯，依稀有看到小白雞在巢中活動，是不是還很小啊？正麻還是常常蓋雞。櫻家今天櫻寶突然自己跳出來站到巢邊和姨姨打招呼，櫻麻就看寶站高高順便酥小雞，櫻寶看起來很舒服，還打了呵欠，隨後屁屁搖擺了一下縮回巢裡。…… 查看更多,https://www.facebook.com/permalink.php?story_fbid=pfbid02ijXsc815GzFdoNqZguxdWdcCAMjsFvmcwxjypmPrxrFFpTsXrrNzwv51Tz6EGaDl&id=100057676830398&__cft__[0]=AZVshL0Zr5WRvYNzknMXyu-R1r28lfn8nFKnzPLUwSNPhW76Mj1WzfNGaqa9-O0Mt6S7Q31RcqnwI4eTMwH6caX2em6aUuETVLW9BKPXCJCyF3amZtMCXj4nPrX9KWgD7mapr3wOW89iGnulXzNGkCJ31PzlYL69A2qIy_uJE3e6JicVba0mh4nYDB67FzYGrIBdauJUBiGsCiCn7ScdV5vV&__tn__=%2CO%2CP-R,fb,2024-05-07
37506fccb109a81703d8c3323b1be21f,fc73810e75cbcb35391b0f013cfabeab,我是Emma 小艾😉,,https://www.facebook.com/reel/1533712674062658/?__cft__[0]=AZU3Gn5t05kuaJC_fxzYd0dG5MxMUpUyEOZHpqRbA3TakoZAhb8AjhTC8BPCX7hKXxIFV-JzX3iPKiBkTNtQxHzF8m1nAhZoFm5extOyaEeq2924BFDT2UxBTW3WB5fJ35b66b4HAAVVzJd_WFWhVF9AoKTqpJj_hbG0cz8GJmDVjw&__tn__=%2CO%2CP-R,fb,2023-11-26
656669b1274739d8a9ad5ab9ee70f6e3,fc73810e75cbcb35391b0f013cfabeab,汪汪 ｜雙北美食 今天汪哪跑！,,https://www.facebook.com/reel/1281315822777818/?__cft__[0]=AZUnGON-z8w9zHJaL1ANlqELOyAisM-1AnOjEDyJ1h83fsochyQFdlXYh3J1FkbyYcgZ89XuJvjpTGXAog-VhF8gyWjddMtHJi7HFHaqXyKGXwTg5FZ-6LTS_55l_B6K5QStLbZPIXPRLx3GbVWSWRKjAqqWBgdBdNSyr984CQYEpA&__tn__=%2CO%2CP-R,fb,2024-03-05
33384aafb220f82a2c910e326b2106eb,fc73810e75cbcb35391b0f013cfabeab,Lozz Chan,最後番番去台北唔駛講 。一到步就當然要去食廖嬌i miss u so much亦都開始左瘋狂夾公仔同一番賞之旅甘啱羅氏一家都黎左台北旅遊 。可以一齊去玩 終於見識到羅氏家族（特別係羅允研小朋友）既抽獎威力 。大癲  而今…… 查看更多,https://www.facebook.com/lozz.chan/posts/pfbid0aJBrwafbfvRW29Fu7uqTB82CHWFP38pojRobeZS6jxezdnH2XSzKaCTXVuerSSJEl?__cft__[0]=AZVe6KkYyz6Jbp7qWDHoQ8t3UatugtRh8FGvAodrMSJY94DEdU7u0gPI5HREU365movBXgI2qVReeeAd3bsXIy-uA6rXmDtEoGQtiMK9anPxmHb_KVwntJshaJ6i_gJ3EBIAf5UYi44VdTph2CpuTNCYum__LaqY4xAStJruz7X4kYwadbyN-n2HYutqQ0V2loNH5vBTYv9_RPoHsEdXgjgR&__tn__=%2CO%2CP-R,fb,2024-05-07
690b889ef0dde20778d16fdc36a7f2c5,fc73810e75cbcb35391b0f013cfabeab,Walkerland窩客島,,https://www.facebook.com/reel/873243167580785/?__cft__[0]=AZWdsmBqL33bwFGnjUJ0HqgAYm6GqKV5KHaZDsvcpXX7R_KLVXcwCOnoDVDMu06tC3jz3UlTZgedDgRQE2oyxKIs0AbJ13TqZK7tDmNK2P_HITK-iw_i6SgPd16Balnrb1mXEr9g7f-W4fTXqsafLG3N4K1GmvEx4i9LHvCdCsBX1Q&__tn__=%2CO%2CP-R,fb,2023-12-16
eac0f4ba96339a3cfb633131d272c24a,fc73810e75cbcb35391b0f013cfabeab,大愛  證嚴上人 静思語,敬邀 在這個特別的時刻，我們誠摯地邀請您參加慈濟浴佛大典，一個充滿虔誠與感恩的盛會。這次大典不僅慶祝佛誕節，更結合了母親節和全球慈濟日，將三重意義融為一體。讓我們在佛誕節、母親節和全球慈濟日的這個特別時刻，與佛相遇，感念佛恩、親恩、眾生恩。在這個充滿善念的時刻，讓我們一起祈願社會祥和，天下無災！…… 查看更多,https://www.facebook.com/groups/5830574973637691/?multi_permalinks=8204109456284219&hoisted_section_header_type=recently_seen&__cft__[0]=AZVe835DLGAFgZVJ4nnA5uaBXHwCpkvtgsu_Ba4-26_EHEmm7RqFJKhadVGp5P4Zxpzz946FVQ1WRsmPtARiU1oRGCFY0IhlbWGogllQKsOofhbIfRdF4Lm2YxxF0OGhZGMobJlSXzFG35RjGTw1HXFuDk85cx86qUBWVA4M9RXdE7Eyeba5_spSSWbNsoRpZLJ0AKClV08NJTK7kgH_84KG&__tn__=%2CO%2CP-R,fb,2024-05-03
3625a2b5d0ff4c3b99e71e4d6b0e3d86,fc73810e75cbcb35391b0f013cfabeab,鷹式一家 Queenie & Hiram,,https://www.facebook.com/reel/282038874244536/?__cft__[0]=AZVpnH1YUbvWLKxIigy1hcFYeM0RI-tNSPXisB77yJWAiap1kqtfoOyTmLk-keNZ6xT8V0ptMVJlnwlphP7-SH3nkpk7FK4eghkEJWff04Gn_r_STGsdiED8DsM1zNYCWEPD_Thmbv4KuRdU_k3xpct8mMtNrmcPtdsyp-xKf8dZrQ&__tn__=%2CO%2CP-R,fb,2023-11-14
74c94d914e5b11e927c15e054ffdb74f,fc73810e75cbcb35391b0f013cfabeab,證嚴法師：行願半世紀,#佛誕節 讓我們與佛相遇！每年五月第二個星期日是 #佛誕節 #母親節 #全球慈濟日，在這個充滿善念的時刻，讓我們一起祈願社會祥和，天下無災！5/12(日) 花蓮靜思堂 / 中正紀念堂 …… 查看更多,https://www.facebook.com/groups/1151058494958195/?multi_permalinks=7696711313726181&hoisted_section_header_type=recently_seen&__cft__[0]=AZWLd2emFL4sxLgi8h64DoY_8KhwV08B6jFQgKZVD7rPM3KOoQ5-c0qAqLv0OHKHYlTv0v4oUPqGLAxkf3eOE30GC9SyJVveC-aVZnh1d5VvRkA3J2VQEZ7MeLTl5YU33e0wdtRcOwMrOo1LmASuYZdCtqwCTT4hxTYy2PsKIAzhk2N6aw1IJfyYn2cGJv1O6MhFTRJpgDmvUXworAYu9tlLOgCAHikIqQHBDdLT2XofWB8Q2eT1bC6Vmp5PsZUgxeJGVu5sgAuO6leumfJpOv7h&__tn__=%2CO%2CP-R,fb,2024-05-07
